Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 60+ Female,-0.02042743,0.01245557,0.979779797,0.956150122,1.003993,-0.1327502,0.1074489,0.986812704,0.966247753,1.007815,-0.001262822,0.001490031,0.983965817,0.94786232,1.021444,-0.000491112,0.001564113,0.996812864,0.97714617,1.016875
Age 60+ Male,0.005328194,0.013577662,1.005342414,0.978940883,1.032456,-0.04908864,0.11713905,0.995103165,0.972516616,1.018214,0.000422638,0.001622007,1.005424427,0.96533205,1.047182,0.000339703,0.001704859,1.002210508,0.98067729,1.024217
All: LAG 5,0.006541185,0.007034241,1.006562625,0.992780261,1.020536,0.03464147,0.06010977,1.003470154,0.991717126,1.015362,-0.001138786,0.000835596,0.985529256,0.965084235,1.006407,0.00100906,0.000879834,1.006580447,0.9953606,1.017927
Female,0.003999507,0.009144118,1.004007516,0.986173512,1.022164,0.02290175,0.07797436,1.002292799,0.987091242,1.017728,-0.001323683,0.001084737,0.983199585,0.956803704,1.010324,0.001165518,0.001144278,1.007604636,0.993022224,1.022401
Male,0.009788747,0.010086323,1.009836813,0.990069193,1.029999,0.0495349,0.0864112,1.004965779,0.988088406,1.022131,-0.00089731,0.00120052,0.988580143,0.959249372,1.018808,0.000818189,0.001260856,1.005332393,0.989312448,1.021612
Warm All,0.00241097,0.006540729,1.002413879,0.989645126,1.015347,0.10795024,0.07426359,1.010853501,0.996246423,1.025675,-0.001050377,0.000775114,0.986645149,0.967644129,1.006019,0.000551914,0.000913902,1.003593881,0.991976686,1.015347
Warm Female,-0.001704813,0.008644185,0.998296639,0.981525372,1.015354,0.11784424,0.09812168,1.011854134,0.992580238,1.031502,-0.001344293,0.001021561,0.982940244,0.958068622,1.008458,0.000139341,0.001211076,1.000906128,0.985581572,1.016469
Warm Male,0.007737177,0.009250867,1.007767186,0.989659314,1.026206,0.0977044,0.105127,1.009818327,0.989224029,1.030841,-0.000679904,0.001100559,0.991334983,0.964337822,1.019088,0.001097768,0.001288242,1.00716101,0.990766185,1.023827
Cold All,0.012992886,0.007731082,1.01307766,0.997842296,1.028546,0.009357546,0.051783915,1.000936193,0.990828425,1.011147,-0.001751223,0.00093178,0.97783371,0.955240487,1.000961,0.001670274,0.000850127,1.010915931,1.00002617,1.021924
Cold Female,0.012514271,0.009891987,1.012592902,0.993149549,1.032417,-0.01635713,0.06606652,0.998365624,0.985521091,1.011378,-0.001634956,0.001191514,0.979290022,0.950449603,1.009006,0.002350378,0.001085191,1.015394754,1.001453179,1.029530
Cold Male,0.01337376,0.0112542,1.013463589,0.991353129,1.036067,0.04073053,0.07562537,1.004081359,0.98930805,1.019075,-0.001883213,0.001357808,0.976183082,0.943489717,1.010009,0.000791516,0.001240944,1.005158111,0.989391896,1.021176
Age 0-10 All,0.03887945,0.02778371,1.039645147,0.984544067,1.097830,0.244553,0.2322071,1.024756783,0.979162865,1.072474,0.001751083,0.003340088,1.02266694,0.940463664,1.112055,0.002142088,0.003455844,1.014020956,0.970344728,1.059663
Age 0-10 Female,0.05039103,0.03856623,1.051682255,0.975116058,1.134260,0.60469669,0.30575826,1.062335375,1.000541196,1.127946,-0.00101844,0.004648981,0.987048569,0.878385542,1.109154,0.00063129,0.004803129,1.004111813,0.94451049,1.067474
Age 0-10 Male,0.03023816,0.03587162,1.030699976,0.960721979,1.105775,-0.07887821,0.31249404,0.992143206,0.933199147,1.054810,0.00380197,0.004304955,1.049868813,0.942388664,1.169607,0.003395453,0.004455838,1.022315798,0.965898105,1.082029
