Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Cold Female,0.000584413,0.008244213,1.000584584,0.984546408,1.016884,0.00707216,0.05607233,1.000707466,0.989769728,1.011766,-0.000953011,0.001010545,0.987875566,0.963145217,1.013241,1.45634E-05,0.000918533,1.000094666,0.988459663,1.011867
Cold Male,-0.01332402,0.00834672,0.986764352,0.97075264,1.003040,-0.01626481,0.0570104,0.998374841,0.987281059,1.009593,0.000513692,0.001018888,1.006596917,0.981192493,1.032659,-0.001764245,0.000929363,0.98859791,0.976961855,1.000373
Age 0-10 All,0.02540693,0.03261127,1.025732437,0.962220967,1.093436,0.04282426,0.27521343,1.004291609,0.951553462,1.059953,-0.001355515,0.00390735,0.982799063,0.891029103,1.084021,0.003671414,0.004059247,1.024151219,0.972533637,1.078508
Age 0-10 Female,0.04926112,0.0410244,1.05049462,0.969333358,1.138451,0.1104694,0.3659454,1.011108183,0.941125896,1.086294,-0.001953684,0.004997925,0.975302934,0.86036798,1.105592,0.007280283,0.005106342,1.04845939,0.982423346,1.118934
Age 0-10 Male,0.00256682,0.04203593,1.002570117,0.923279196,1.088671,-0.01579738,0.33813159,0.998421509,0.934397325,1.066833,-0.000568251,0.004955863,0.992752776,0.876686075,1.124186,0.000197711,0.005233691,1.00128595,0.936700117,1.070325
Age 11-60 All,-0.003410946,0.00824752,0.996594865,0.980614282,1.012836,0.02930655,0.07151146,1.002934954,0.988975628,1.017091,-0.000410287,0.000980199,0.994762091,0.970597988,1.019528,-0.001167242,0.001035294,0.992441636,0.97943763,1.005618
Age 11-60 Female,-0.001977478,0.011572763,0.998024476,0.975641483,1.020921,0.04909528,0.09992461,1.004921599,0.985431468,1.024797,-0.000487319,0.001372569,0.993781733,0.960143346,1.028599,-0.00093909,0.001450475,0.99391451,0.975716575,1.012452
Age 11-60 Male,-0.004790888,0.011402949,0.99522057,0.97322433,1.017714,0.01057702,0.09926957,1.001058262,0.981769097,1.020726,-0.00033138,0.001357871,0.995767323,0.962416543,1.030274,-0.001385146,0.00143378,0.991036961,0.973098658,1.009306
Age 60+All,-0.000900226,0.00734091,0.99910018,0.984827865,1.013579,-0.007406313,0.063519968,0.999259643,0.986896069,1.011778,0.00048748,0.000883439,1.00625925,0.984202154,1.028811,-0.000378804,0.000922988,0.997540801,0.985879544,1.009340
Age 60+ Female,0.002068274,0.009605261,1.002070414,0.983381597,1.021114,-0.01509697,0.0829569,0.998491442,0.982387693,1.014859,0.000729758,0.001158697,1.00938467,0.98046485,1.039158,-0.000348523,0.001211259,0.997737163,0.982458827,1.013253
Age 60+ Male,-0.00463723,0.01059955,0.995373505,0.974907828,1.016269,0.002045717,0.091940067,1.000204593,0.98234208,1.018392,0.00018372,0.001271816,1.002354385,0.970876806,1.034853,-0.000418417,0.001327866,0.997283984,0.980554824,1.014299
